Boy   0d   7d  14d   1m   2m   3m   4m   5m   6m   12m   18m  24m  30m
  0 2.93 3.23 3.44 4.04 4.87 5.50 6.22 7.07 7.36  9.21 10.60 11.6 12.5
  0 2.65 2.86 3.25 3.78 4.49 5.37 6.24 6.49 6.90  8.69 10.20 11.3 12.2
  1 3.01 3.50 3.52 4.37 5.35 5.91 6.82 7.31 7.84 10.20 11.40 12.4 13.4
  1 3.02 2.95 3.55 4.27 5.12 5.94 6.67 7.35 7.74  9.82 11.20 12.2 13.2
  1 2.42 2.49 2.72 3.63 4.37 5.32 6.35 6.74 7.15  9.18 10.40 11.6 12.6
  0 2.77 2.88 3.52 3.77 4.71 5.30 5.92 6.65 7.05  8.91 10.40 11.0 12.6
  0 2.56 2.91 2.91 3.65 4.48 5.02 5.79 6.52 7.05  9.00 10.20 11.3 12.2
  1 2.98 3.36 3.71 4.11 4.99 6.02 6.84 7.47 7.68  9.96 11.40 12.0 13.3
  1 2.89 2.98 3.40 3.82 5.05 5.71 6.47 7.07 7.60  9.75 11.10 12.0 13.1
  1 2.78 3.59 3.63 4.36 5.38 5.93 6.73 7.47 7.87  9.96 11.30 12.2 13.4
  0 2.87 3.29 3.44 3.98 4.70 5.24 6.12 6.80 7.20  9.12 10.30 11.5 12.5
  1 3.19 3.85 3.93 4.29 5.46 6.28 6.81 7.59 8.13  9.88 11.60 12.6 13.6
  1 2.56 3.26 3.64 3.96 4.86 5.99 6.49 7.09 7.76  9.85 11.30 12.3 13.3
  1 3.49 4.00 4.21 4.55 5.72 6.58 7.28 7.71 8.33 10.30 11.90 12.6 13.9
  1 2.20 2.72 2.69 3.46 4.27 5.08 5.83 6.90 7.13  9.06 10.30 11.5 12.5
  0 3.20 3.48 3.54 3.84 4.85 5.60 5.94 6.74 7.40  9.11 10.50 11.8 12.7
  0 2.14 2.89 3.16 3.39 4.12 5.33 5.73 6.47 6.89  8.80 10.20 11.1 12.2
  1 2.88 3.33 3.72 4.32 5.19 5.94 6.66 7.34 7.79  9.97 11.20 12.1 13.2
  1 2.13 2.63 2.89 3.51 4.49 5.17 5.94 6.75 7.06  9.06 10.40 11.6 12.4
  1 3.47 3.53 3.99 4.59 5.74 6.53 7.34 7.70 8.13 10.50 11.50 12.7 13.8
  1 2.57 2.81 3.22 3.87 4.77 5.65 6.24 6.98 7.53  9.30 11.00 12.0 12.7
  0 2.82 3.11 3.35 3.70 4.79 5.62 5.89 6.12 7.00  9.11 10.30 11.4 12.3
  1 3.17 3.33 3.77 4.34 4.91 6.00 6.76 7.43 7.90  9.93 11.10 12.2 13.1
  1 2.81 3.17 3.37 3.97 4.82 5.92 6.46 7.21 7.55  9.60 11.00 12.1 13.1
  0 2.82 2.92 3.13 3.65 4.70 5.53 6.09 6.48 7.05  8.91 10.20 11.4 12.4
  1 2.69 3.11 3.05 3.77 4.85 5.70 6.24 6.94 7.37  9.58 10.70 12.0 12.9
  1 3.24 3.61 3.69 4.42 5.40 6.28 6.82 7.56 7.98 10.20 11.30 12.5 13.5
  1 3.36 3.75 4.06 4.54 5.68 6.61 7.22 7.70 8.44 10.40 11.70 12.9 13.6
  0 2.87 3.11 3.40 3.94 4.87 5.74 6.01 6.80 7.29  9.15 10.50 11.7 12.8
  0 3.14 3.61 3.65 4.04 5.04 5.76 6.37 6.83 7.36  9.35 10.70 11.7 12.7
  0 2.82 3.19 3.29 3.90 4.71 5.34 6.12 6.41 7.09  8.85 10.40 11.4 12.4
  0 2.81 3.01 3.05 3.60 4.49 5.38 6.04 6.50 6.96  9.01  9.95 11.3 12.2
  1 2.70 2.87 3.04 3.94 4.91 5.66 6.42 6.98 7.49  9.53 10.70 11.8 13.0
  1 2.92 3.22 3.55 4.13 4.97 5.97 6.55 7.27 7.75  9.70 11.20 12.2 13.1
  0 2.88 3.11 3.39 3.89 4.80 5.72 5.90 6.81 7.24  8.95 10.60 11.6 12.6
  0 2.96 3.27 3.53 4.12 4.81 5.60 6.05 6.78 7.17  9.35 10.60 11.6 12.7
  1 2.80 2.92 3.48 3.97 4.99 5.79 6.40 7.04 7.50  9.59 11.00 12.0 13.0
  0 2.96 3.44 3.65 4.01 5.14 5.69 6.26 7.03 7.27  9.33 10.50 11.5 12.7
  1 2.35 2.75 3.18 3.43 4.53 5.39 6.11 6.81 7.21  9.45 10.40 11.7 12.8
  1 3.42 3.73 3.61 4.49 5.48 6.21 6.87 7.58 8.28 10.40 11.50 12.6 13.5
  0 2.86 2.69 3.08 3.66 4.53 5.14 6.00 6.56 6.70  8.84 10.20 11.3 12.4
  0 2.85 3.07 3.12 3.92 4.70 5.31 6.09 6.43 6.99  9.00 10.20 11.4 12.3
  0 2.57 2.79 3.03 3.37 4.29 5.25 5.71 6.22 6.74  8.68 10.10 11.3 12.1
  1 2.69 3.01 3.24 3.67 4.72 5.66 6.36 7.06 7.25  9.21 10.80 11.9 12.9
  1 2.44 3.20 3.27 3.89 4.90 5.80 6.41 7.05 7.56  9.57 10.80 11.8 13.0
  0 3.20 3.58 3.73 4.24 5.15 6.04 6.57 7.01 7.59  9.61 10.70 11.8 12.8
  0 2.98 3.28 3.27 4.02 4.74 5.66 6.11 6.78 7.29  9.34 10.40 11.6 12.7
  0 2.64 2.91 3.49 3.82 4.74 5.29 5.88 6.38 7.07  9.13 10.20 11.4 12.3
  1 2.59 2.62 3.06 3.78 4.37 5.31 6.14 6.81 7.12  9.39 10.70 11.7 12.8
  0 2.68 3.10 3.41 3.93 4.32 5.52 6.34 6.61 7.15  9.10 10.30 11.2 12.7
  1 3.52 3.72 4.14 4.52 5.53 6.46 7.11 7.73 8.20 10.40 11.60 12.6 13.8
  1 2.66 3.24 3.35 3.94 5.35 5.76 6.55 7.19 7.79  9.83 11.00 12.3 13.2
  0 3.26 3.67 3.59 4.30 5.12 5.79 6.53 6.87 7.64  9.34 10.80 11.8 12.9
  1 3.11 2.92 3.61 3.87 5.12 5.81 6.40 7.20 7.69  9.57 10.70 12.1 13.0
  0 2.39 2.68 2.97 3.56 4.33 5.00 5.72 6.15 6.58  8.66  9.97 11.2 12.1
  0 2.86 3.13 3.48 3.98 4.81 5.55 6.18 6.66 7.12  9.26 10.50 11.6 12.7
  0 2.75 3.23 3.31 3.86 4.80 5.47 6.04 6.64 6.96  9.10 10.40 11.3 12.4
  1 3.18 3.43 3.69 4.21 5.15 6.19 6.64 7.46 8.05 10.00 11.50 12.4 13.4
  1 2.72 3.14 3.58 4.19 5.26 5.98 6.61 7.36 7.80  9.93 11.30 12.2 13.1
  1 3.07 3.34 3.57 4.20 5.14 6.05 6.88 7.51 7.91  9.97 11.30 12.5 13.3
  0 2.80 2.97 3.27 3.69 4.58 5.53 6.01 6.58 6.93  8.90 10.40 11.3 12.2
  1 2.77 3.07 3.70 4.01 4.98 5.87 6.58 7.18 7.51  9.67 10.90 12.3 13.1
  0 2.45 2.75 3.22 3.64 4.70 5.32 5.62 6.48 6.66  8.94  9.99 11.2 12.3
  1 3.10 3.48 3.66 4.28 5.09 6.21 6.83 7.39 7.91 10.20 11.40 12.1 13.3
  0 3.12 3.53 3.67 4.12 5.13 5.89 6.62 6.95 7.59  9.60 10.50 11.7 12.9
  0 2.69 2.88 3.11 3.76 5.16 5.39 5.89 6.54 7.14  8.83 10.50 11.3 12.3
  1 2.52 2.80 3.29 3.96 4.75 5.52 6.39 6.88 7.33  9.66 10.70 12.0 13.0
  1 2.78 2.94 3.39 3.91 4.74 5.74 6.56 7.13 7.39  9.59 10.80 12.0 13.0
  0 2.59 2.63 3.02 3.81 4.32 4.93 5.81 6.11 6.71  9.12 10.00 10.9 12.2
  0 3.14 3.19 3.64 4.00 5.07 5.31 6.25 6.75 7.18  9.54 10.60 11.6 12.7
  1 2.79 3.15 3.31 4.16 5.06 5.86 6.56 6.90 7.89  9.67 11.20 12.2 13.0
  1 2.68 2.92 3.16 3.75 4.93 5.55 6.40 6.82 7.81  9.52 10.80 12.0 12.9
  1 2.61 2.94 3.26 3.78 4.83 5.85 6.29 7.18 7.49  9.41 11.10 11.9 12.8
  1 2.60 2.97 3.17 3.78 4.69 5.75 6.38 6.99 7.49  9.67 10.80 11.9 12.7
  0 2.59 2.84 3.15 3.52 4.62 5.36 5.83 6.49 6.84  8.75 10.30 11.3 12.4
  1 2.67 2.93 3.33 3.99 4.79 5.45 6.42 7.03 7.47  9.57 11.00 11.8 12.9
  0 3.02 3.24 3.28 3.97 4.80 5.45 6.12 6.57 7.28  9.09 10.30 11.5 12.7
  0 2.61 2.94 3.17 3.65 4.50 5.42 5.83 6.48 7.12  8.86 10.10 11.0 12.4
  0 2.99 3.34 3.61 4.09 5.13 5.54 6.49 6.83 7.42  9.44 10.50 11.6 12.9
  1 2.90 3.15 3.45 3.97 5.08 5.95 6.57 7.39 7.78  9.70 11.20 12.2 13.0
  1 3.12 3.24 3.51 4.15 5.11 5.85 6.57 7.58 7.82  9.97 11.20 12.2 13.2
  0 2.61 2.84 2.99 3.75 4.28 4.94 5.79 6.37 6.99  8.70 10.10 11.1 12.1
  0 2.73 2.89 3.22 3.72 4.55 5.14 6.09 6.53 7.06  9.00 10.10 11.2 12.3
  0 2.82 3.00 3.35 3.79 4.66 5.46 6.01 6.54 6.99  8.96 10.20 11.4 12.5
  0 3.00 3.29 3.51 3.84 4.74 5.52 6.09 6.58 7.24  9.00 10.20 11.6 12.6
  1 3.20 3.52 3.85 4.33 5.49 6.07 7.03 7.61 8.17 10.10 11.40 12.6 13.5
  1 2.89 3.24 3.57 4.07 5.34 5.90 6.72 7.25 7.56  9.73 11.20 12.2 13.2
  1 2.77 3.08 3.13 3.96 5.04 5.92 6.52 7.02 7.58  9.40 10.70 11.9 13.1
  0 2.37 3.06 3.30 3.67 4.52 5.17 6.14 6.21 7.05  8.83 10.30 11.3 12.7
  0 3.04 3.40 3.49 4.25 5.03 5.83 6.38 7.16 7.30  9.65 10.80 11.5 12.8
  1 3.00 3.23 3.75 4.22 5.15 5.92 6.65 7.28 7.65 10.00 11.10 12.4 13.2
  0 3.01 3.18 3.40 3.80 4.86 5.69 6.19 6.77 7.09  9.25 10.60 11.5 12.7
  1 3.44 3.81 3.95 4.53 5.44 6.43 7.24 7.64 8.21 10.30 11.50 12.5 13.8
  1 3.26 3.52 3.79 4.35 5.40 6.35 6.87 7.57 8.04  9.93 11.40 12.6 13.5
  0 2.73 2.94 3.22 3.76 4.53 5.30 5.85 6.60 7.05  8.93 10.20 10.9 12.5
  0 3.02 3.19 3.35 4.04 4.87 5.71 6.24 6.91 7.15  9.18 10.30 11.6 12.6
  0 2.42 2.84 3.14 3.48 4.40 5.22 5.63 6.23 6.70  8.74  9.99 11.1 12.2
  1 2.58 2.77 2.96 3.86 4.64 5.54 6.21 6.88 7.07  9.33 10.60 11.8 12.7
  0 2.81 3.46 3.42 3.82 4.41 5.56 6.34 6.73 7.26  8.97 10.30 11.6 12.6
  1 3.25 3.56 3.93 4.52 5.43 6.33 6.96 7.50 8.09 10.00 11.60 12.6 13.6
  0 3.09 3.59 3.73 4.32 5.09 5.86 6.48 7.18 7.52  9.63 10.60 11.8 12.9
  1 2.27 2.85 2.87 3.61 4.60 5.53 6.11 6.95 7.46  9.40 10.80 11.6 13.0
  0 2.71 3.28 3.15 3.73 4.86 5.29 6.06 6.67 6.87  8.98 10.40 11.4 12.4
  0 2.56 2.92 2.89 3.24 4.46 5.14 5.52 6.31 6.82  8.74 10.20 11.1 12.3
  1 3.02 3.12 3.43 4.11 5.17 6.02 6.68 7.14 7.68  9.67 11.10 12.1 13.2
  0 2.39 2.91 3.05 3.54 4.64 5.45 5.77 6.38 6.81  8.88 10.20 11.4 12.3
  1 2.78 2.99 3.28 3.96 4.85 5.76 6.35 6.83 7.60  9.55 10.80 11.7 12.8
  0 2.79 3.30 3.17 3.97 4.74 5.51 5.92 6.84 7.25  9.28 10.50 11.4 12.5
  1 2.73 3.40 3.42 4.16 5.02 5.80 6.54 7.10 7.85  9.77 11.10 12.3 12.9
  0 2.97 2.98 3.35 3.93 4.93 5.45 6.20 6.68 7.18  9.21 10.40 11.6 12.2
  0 2.87 3.23 3.51 3.97 4.92 5.52 6.14 6.78 7.07  9.05 10.30 11.5 12.6
  1 3.03 3.58 3.71 4.30 5.22 6.23 6.84 7.48 8.10  9.96 10.90 12.7 13.4
  1 2.99 3.35 3.75 4.19 5.26 6.01 6.89 7.35 7.75 10.10 11.10 12.4 13.3
  0 3.16 2.93 3.30 3.85 4.72 5.35 5.97 6.45 7.15  9.08 10.40 11.4 12.2
  0 2.88 3.15 3.21 3.77 4.72 5.50 6.03 6.74 7.10  9.23 10.30 11.5 12.5
  1 3.39 3.39 3.63 4.23 5.10 6.08 6.94 7.34 7.92  9.86 11.10 12.3 13.1
  1 3.09 3.25 3.48 4.02 5.12 5.76 6.58 7.31 7.57  9.76 11.10 12.2 13.4
  0 2.73 3.06 3.25 3.70 4.61 5.54 5.86 6.38 6.98  8.90 10.30 11.5 12.3
  1 3.32 3.57 3.81 4.36 5.16 6.10 7.15 7.64 8.16 10.00 11.50 12.5 13.5
  0 3.00 3.21 3.73 4.06 4.94 6.00 6.34 6.96 7.25  9.12 10.50 11.7 12.7
  0 2.65 2.84 3.02 3.35 4.39 5.20 5.62 5.76 6.85  8.68  9.99 11.0 12.0
  0 2.60 2.93 3.04 3.57 4.54 5.25 5.80 6.57 6.77  8.94 10.10 11.1 12.4
  0 2.87 3.11 3.48 3.92 4.79 5.86 6.05 6.77 7.07  9.17 10.30 11.4 12.5
  1 3.23 3.44 3.72 4.29 5.25 6.04 6.96 7.39 8.18  9.87 11.40 12.0 13.3
  0 2.85 3.13 3.37 3.69 4.65 5.31 6.12 6.41 7.01  8.80 10.50 11.4 12.4
  1 2.43 2.62 2.95 3.69 4.31 5.25 5.99 6.54 7.35  9.24 10.50 11.5 12.6
  1 2.94 3.20 3.43 3.98 5.22 6.05 6.68 7.27 7.62  9.64 11.00 12.2 13.0
  0 2.98 3.05 3.45 3.99 4.91 5.68 6.12 6.75 7.11  9.26 10.50 11.7 12.5
  1 3.16 3.55 3.77 4.40 5.24 6.14 6.90 7.39 8.00  9.99 11.10 12.2 13.3
  1 3.09 3.39 3.73 4.17 5.20 6.14 6.79 7.43 7.97  9.93 11.30 12.2 13.2
  0 2.69 3.05 3.08 3.69 4.42 5.25 5.90 6.39 6.92  8.93 10.00 11.2 12.4
  1 2.99 3.47 3.55 4.21 5.25 5.91 6.67 7.39 7.74  9.88 11.10 12.3 13.3
  1 3.02 3.39 3.57 4.18 5.34 5.91 6.76 7.20 7.86  9.71 11.10 12.2 13.3
  0 2.91 3.07 3.14 3.58 4.74 5.13 6.06 6.63 6.90  9.03 10.10 11.1 12.5
  1 3.63 3.93 4.04 4.65 5.63 6.37 7.17 7.73 8.30 10.30 11.70 12.8 13.9
  0 2.86 3.26 3.48 4.05 4.76 5.68 6.19 6.82 7.20  9.13 10.40 11.6 12.6
  0 2.71 3.14 3.36 3.41 4.75 5.39 6.10 6.66 7.14  9.00 10.20 11.3 12.3
  1 2.52 2.88 3.02 3.76 4.68 5.60 5.90 6.76 7.37  9.38 10.60 11.9 12.7
  0 2.82 2.78 3.04 3.91 4.87 5.34 6.10 6.51 7.00  8.92 10.20 11.5 12.4
  1 3.28 3.57 3.71 4.35 5.35 6.07 6.88 7.37 7.92 10.10 11.20 12.4 13.5
  1 2.72 3.09 3.35 3.90 4.98 5.81 6.58 7.01 7.26  9.84 10.90 11.9 13.0
  0 2.99 3.13 3.29 3.87 4.70 5.47 6.13 6.66 7.18  8.96 10.40 11.3 12.4
  1 3.49 3.61 3.91 4.61 5.37 6.33 7.16 7.43 8.11 10.40 11.50 12.6 13.7
  1 2.94 3.32 3.75 4.01 5.14 6.05 6.72 7.30 8.14  9.73 11.10 12.5 13.4
  1 2.73 3.19 3.36 4.09 5.21 5.94 6.48 7.25 7.79  9.61 11.10 12.2 13.1
  0 2.94 3.27 3.48 4.06 5.19 5.48 5.93 6.96 7.28  9.07 10.50 11.7 12.7
  0 2.61 2.90 3.08 3.72 4.53 5.35 6.01 6.43 7.05  9.01 10.10 11.2 12.4
  0 3.39 3.44 3.81 4.33 5.32 5.81 6.59 7.04 7.59  9.64 10.90 12.0 13.0
  0 3.32 3.21 3.71 4.05 5.03 5.83 6.16 6.93 7.39  9.28 10.60 11.8 12.8
  1 2.59 3.10 3.34 3.74 4.78 5.63 6.48 6.91 7.76  9.62 11.00 12.2 12.9
  1 2.14 2.53 3.04 3.36 4.29 5.29 5.97 6.47 6.80  9.06 10.30 11.4 12.5
  0 2.78 2.90 3.14 3.60 4.64 5.26 5.79 6.33 6.91  9.00 10.20 11.3 12.6
  0 2.39 3.14 3.29 3.83 4.65 5.32 5.76 6.33 6.88  8.97 10.10 11.3 12.4
  1 2.85 2.68 3.22 3.93 4.88 5.78 6.36 6.94 7.55  9.58 10.70 12.0 13.0
  0 3.08 3.41 3.38 4.03 5.13 5.85 6.32 6.93 7.30  9.33 10.60 11.9 12.8
  0 2.76 2.89 3.63 3.91 4.70 5.68 5.99 6.57 7.03  9.14 10.10 11.5 12.5
  0 3.08 3.51 3.40 4.30 4.93 5.76 6.12 6.80 7.20  9.47 10.80 11.8 12.9
  0 2.61 2.63 2.79 3.43 4.32 5.10 5.80 5.96 6.71  8.70 10.30 11.2 12.0
  1 2.90 3.48 3.60 4.33 5.35 6.18 6.86 7.64 8.04  9.95 11.00 12.2 13.4
  0 3.38 3.36 3.76 4.20 5.12 5.89 6.47 6.95 7.37  9.32 10.80 11.7 13.0
  0 2.79 3.18 3.48 3.95 4.89 5.29 6.01 6.76 7.06  9.01 10.30 11.6 12.6
  1 2.93 3.12 3.48 4.03 5.04 5.88 6.49 7.27 7.78  9.56 10.90 12.2 13.2
  0 2.63 2.94 3.12 3.76 4.54 5.29 5.85 6.47 7.11  9.07 10.30 11.3 12.3
  1 3.12 3.54 3.66 4.28 5.33 6.22 6.64 7.47 7.87 10.10 11.30 12.4 13.3
  1 2.89 3.23 3.45 4.14 5.10 5.83 6.55 6.91 7.49  9.70 11.10 12.1 13.2
  0 3.05 3.27 3.47 3.85 4.66 5.61 6.30 6.77 7.49  9.11 10.50 11.6 12.7
  0 2.69 3.21 3.19 3.69 4.61 5.46 6.08 6.61 6.99  9.01 10.30 11.2 12.3
  1 3.34 3.64 4.12 4.55 5.34 6.35 7.20 7.60 8.26 10.10 11.40 12.8 13.7
  0 3.15 3.51 3.75 4.27 5.15 5.86 6.42 6.98 7.57  9.35 10.70 11.6 12.9
  1 2.57 2.86 2.98 3.86 4.59 5.67 6.11 6.81 7.17  9.31 11.00 11.7 12.9
  0 2.83 3.20 3.78 4.29 4.94 5.69 6.31 6.73 7.32  9.29 10.80 11.7 12.6
  0 2.49 2.99 3.17 3.73 4.53 5.48 5.86 6.46 6.92  8.77 10.30 11.2 12.3
  0 3.00 3.68 3.42 4.16 4.67 5.63 6.15 6.92 6.91  9.26 10.30 11.7 12.8
  1 2.89 3.14 3.43 4.21 4.81 6.00 6.63 7.15 7.71  9.79 10.80 11.9 13.0
  1 2.76 2.94 3.61 4.00 4.99 5.78 6.56 7.15 7.50  9.72 10.90 12.0 13.0
  0 2.85 3.08 3.29 3.72 4.79 5.42 5.97 6.54 7.14  9.08 10.40 11.6 12.6
  1 3.55 3.78 4.01 4.65 5.57 6.52 7.18 7.55 8.41 10.20 11.60 12.7 13.7
  0 2.98 2.94 3.37 3.87 4.70 5.46 5.98 6.60 6.96  9.00 10.40 11.4 12.3
  0 3.35 3.58 3.44 4.12 4.88 5.66 6.47 6.86 7.38  9.19 10.40 11.6 12.8
  0 3.04 3.04 3.22 3.80 4.57 5.44 6.33 6.59 7.20  8.93 10.30 11.4 12.5
  0 2.80 2.66 3.27 3.70 4.45 5.24 5.94 6.50 6.96  8.96  9.83 11.2 12.4
  1 3.37 3.75 4.22 4.70 5.62 6.32 7.25 7.78 8.37 10.20 11.70 12.5 13.6
  0 2.92 3.23 3.40 3.86 4.65 5.60 6.13 6.79 7.06  8.83 10.30 11.5 12.5
  0 2.86 3.37 3.28 4.00 4.75 5.51 5.99 6.79 7.10  9.20 10.40 11.6 12.5
  1 3.08 3.36 3.48 4.10 5.28 6.16 6.86 7.51 7.78 10.10 11.30 12.2 13.4
  0 2.99 3.15 3.48 3.90 4.61 5.67 6.18 6.72 7.28  9.14 10.50 11.3 12.5
  0 2.71 3.07 3.27 3.78 4.76 5.47 6.08 6.58 7.20  9.13 10.30 11.5 12.6
  0 2.86 3.06 3.56 3.82 4.63 5.42 6.01 6.74 6.89  9.14 10.10 11.3 12.7
  0 2.68 3.19 3.11 3.89 5.03 5.30 6.13 6.55 6.99  9.12 10.10 11.6 12.6
  0 3.35 3.49 3.69 4.24 5.16 6.04 6.54 7.12 7.33  9.50 10.90 11.9 12.8
  0 2.82 3.34 3.58 4.25 5.04 5.67 6.32 6.81 7.34  9.41 10.70 11.6 12.9
  1 2.73 2.60 3.16 3.81 4.66 5.54 6.22 6.78 7.39  9.43 10.80 11.8 12.8
  0 2.78 2.72 3.06 3.65 4.39 5.41 5.87 6.43 6.89  8.90 10.10 11.4 12.2
  1 3.34 3.06 3.77 4.45 5.31 6.11 6.79 7.54 7.76 10.00 11.60 12.4 13.5
  1 2.75 3.06 3.41 3.94 4.89 5.90 6.49 7.09 7.73  9.62 10.90 12.0 13.0
  1 2.94 3.16 3.56 4.22 5.22 5.91 6.59 7.21 7.77  9.84 11.30 12.3 13.3
  0 2.76 3.03 3.14 3.71 4.57 5.21 5.87 6.32 6.63  8.82 10.10 11.1 12.3
  0 2.64 3.09 3.21 3.89 4.69 5.42 6.00 6.65 7.04  8.99 10.20 11.4 12.2
  1 2.80 3.33 3.37 4.02 4.99 5.67 6.53 7.07 7.50  9.49 10.90 12.0 13.1
  0 2.94 3.40 3.44 4.14 4.65 5.53 6.03 6.65 7.03  9.18 10.50 11.5 12.8
  0 3.09 3.43 3.81 4.08 4.69 5.64 6.21 6.72 7.40  9.25 10.70 11.7 12.8
  0 3.01 3.25 3.44 4.05 4.77 5.52 6.16 6.72 7.23  9.26 10.20 11.5 12.6
  1 3.61 3.77 3.98 4.74 5.50 6.27 7.08 7.55 8.26 10.30 11.50 12.7 13.7
  0 2.82 3.10 3.38 3.82 4.66 5.38 5.84 6.52 7.13  9.08 10.50 11.5 12.5
  1 3.11 3.38 3.82 4.28 5.13 6.19 6.90 7.43 7.82 10.10 11.20 12.3 13.4
  0 2.87 2.99 3.43 3.87 4.84 5.56 6.12 6.60 7.23  9.19 10.30 11.4 12.6
  1 2.79 3.02 3.56 3.88 4.87 5.71 6.44 7.15 7.61  9.56 11.00 12.1 12.9
  1 3.17 3.56 3.70 4.64 5.44 6.12 6.98 7.48 8.08 10.10 11.30 12.9 13.5
  1 2.56 2.93 3.20 3.81 4.96 5.66 6.44 6.92 7.57  9.53 10.80 12.1 12.9
  1 2.94 3.31 3.70 4.22 5.00 5.77 6.72 7.35 8.00  9.92 11.30 12.5 13.3
  0 3.06 3.51 3.58 3.69 5.11 5.74 6.38 7.05 7.16  9.32 10.50 11.7 12.7
  0 2.93 3.10 3.52 3.93 4.76 5.50 6.18 7.00 7.17  9.32 10.50 11.7 12.6
  0 2.94 3.18 3.55 3.88 4.93 5.49 6.23 6.73 7.03  9.12 10.50 11.5 12.7
  1 3.14 3.42 3.86 4.44 5.24 6.28 6.71 7.35 7.89  9.90 11.30 12.4 13.4
  0 2.65 3.11 3.47 3.99 4.78 5.35 6.14 6.54 7.00  9.41 10.50 11.3 12.4
  1 3.32 3.43 3.93 4.52 5.35 6.17 6.76 7.39 7.89  9.91 11.40 12.4 13.4
  1 3.31 3.32 3.72 4.16 5.45 6.06 6.84 7.38 8.05  9.99 11.30 12.6 13.4
  0 2.94 3.26 3.36 3.87 4.58 5.55 6.17 6.72 7.18  9.13 10.70 11.7 12.6
  0 2.67 3.02 3.24 3.96 4.52 5.40 6.07 6.41 7.00  8.81 10.10 11.1 12.5
  1 2.89 3.22 3.89 4.10 5.08 5.85 6.51 7.10 7.60  9.74 11.00 12.2 13.2
